timestamp	generation	population_size	avg_fitness	generation_best	current_best
1740008748.2447784	250	300	4723693.217171621	4687671.886179092	4687671.886179092
1740008750.6819263	251	300	4745555.869840341	4676410.818422399	4676410.818422399
1740008753.1657503	252	300	4727307.361108212	4676659.3868919145	4676410.818422399
1740008755.6440086	253	300	4720418.950988437	4672523.173917162	4672523.173917162
1740008758.1274061	254	300	4723207.602093488	4662361.012581526	4662361.012581526
1740008760.6283872	255	300	4703052.512588505	4669446.277848055	4662361.012581526
1740008763.0489929	256	300	4698524.713767247	4658435.144153292	4658435.144153292
1740008765.50559	257	300	4698387.588560882	4653996.582974364	4653996.582974364
1740008767.949876	258	300	4700827.300173387	4653996.582974364	4653996.582974364
1740008770.3994298	259	300	4687605.902321166	4646662.1586963525	4646662.1586963525
1740008772.724409	260	300	4679689.255339541	4645127.937316196	4645127.937316196
1740008775.1272588	261	300	4683357.02393512	4630987.899248498	4630987.899248498
1740008777.619584	262	300	4686337.712278224	4630987.899248498	4630987.899248498
1740008780.0585227	263	300	4671033.406998162	4603443.903258897	4603443.903258897
1740008782.60486	264	300	4684562.058388888	4596405.636275586	4596405.636275586
1740008785.1261485	265	300	4669107.035964084	4592945.191454726	4592945.191454726
1740008787.671167	266	300	4660103.87390277	4593536.044926724	4592945.191454726
1740008790.3065245	267	300	4647620.573731858	4586849.864238067	4586849.864238067
1740008792.843072	268	300	4648976.926682526	4586849.864238067	4586849.864238067
1740008795.4523923	269	300	4637415.978258951	4576013.713653347	4576013.713653347
1740008798.0247793	270	300	4630845.365341734	4576013.713653347	4576013.713653347
1740008800.5503285	271	300	4637198.971778069	4577914.6844452275	4576013.713653347
1740008803.0750072	272	300	4617423.060710404	4574560.341589331	4574560.341589331
1740008805.5484736	273	300	4613543.918210615	4567813.834957807	4567813.834957807
1740008807.933198	274	300	4620283.306744537	4565281.980092371	4565281.980092371
1740008810.394226	275	300	4612527.895411559	4564301.223698957	4564301.223698957
1740008812.8281426	276	300	4593339.967623364	4556064.971160249	4556064.971160249
1740008815.1854415	277	300	4604523.356987143	4552962.508664033	4552962.508664033
1740008817.6046562	278	300	4612789.226237115	4546820.121014859	4546820.121014859
1740008820.1038008	279	300	4604210.953853595	4549030.050259084	4546820.121014859
1740008822.4853082	280	300	4594450.164894412	4530407.375318211	4530407.375318211
1740008824.879055	281	300	4575234.164227518	4527341.527949238	4527341.527949238
1740008827.296587	282	300	4587208.520744264	4532180.429945914	4527341.527949238
1740008829.7071161	283	300	4597271.073216822	4518459.350136511	4518459.350136511
1740008832.1125827	284	300	4573559.81368269	4518459.350136511	4518459.350136511
1740008834.5688827	285	300	4552481.353859792	4513486.624107208	4513486.624107208
1740008836.9970002	286	300	4565625.257336867	4517524.729287585	4513486.624107208
1740008839.4069777	287	300	4553754.866109236	4517921.666399196	4513486.624107208
1740008841.8123775	288	300	4549310.301241756	4517246.405031396	4513486.624107208
1740008844.1468813	289	300	4550716.158585274	4517524.729287585	4513486.624107208
1740008846.5362802	290	300	4558928.225323081	4509584.829808197	4509584.829808197
1740008848.8383493	291	300	4544447.36349418	4511556.085623932	4509584.829808197
1740008851.1923954	292	300	4552439.726129547	4506853.367714486	4506853.367714486
1740008853.6426919	293	300	4533007.215360725	4507206.796524218	4506853.367714486
1740008856.1182	294	300	4541793.672930525	4507447.406758442	4506853.367714486
